uuid	gene_curie	gene_symbol	disease_curie	disease_title	disease_original_curie	disease_original_title	classification_curie	classification_title	moi_curie	moi_title	submitter_curie	submitter_title	submitted_as_hgnc_id	submitted_as_hgnc_symbol	submitted_as_disease_id	submitted_as_disease_name	submitted_as_moi_id	submitted_as_moi_name	submitted_as_submitter_id	submitted_as_submitter_name	submitted_as_classification_id	submitted_as_classification_name	submitted_as_date	submitted_as_public_report_url	submitted_as_notes	submitted_as_pmids	submitted_as_assertion_criteria_url	submitted_as_submission_id	submitted_run_date
GENCC_000110-HGNC_11769-Orphanet_91387-HP_0000006-GENCC_100009	HGNC:11769	TGFB3	MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	Orphanet:91387	Orphanet:91387	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:11769	TGFB3	Orphanet:91387	Familial thoracic aortic aneurysm and aortic dissection	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	23824657[PMID]_25835445[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15608	2021-09-14
GENCC_000110-HGNC_11772-Orphanet_91387-HP_0000006-GENCC_100009	HGNC:11772	TGFBR1	MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	Orphanet:91387	Orphanet:91387	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:11772	TGFBR1	Orphanet:91387	Familial thoracic aortic aneurysm and aortic dissection	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301299[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15610	2021-09-14
GENCC_000110-HGNC_11773-Orphanet_91387-HP_0000006-GENCC_100009	HGNC:11773	TGFBR2	MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	Orphanet:91387	Orphanet:91387	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:11773	TGFBR2	Orphanet:91387	Familial thoracic aortic aneurysm and aortic dissection	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301299[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15611	2021-09-14
GENCC_000110-HGNC_11795-Orphanet_3319-HP_0000007-GENCC_100009	HGNC:11795	THPO	MONDO:0011469	congenital amegakaryocytic thrombocytopenia	Orphanet:3319	Orphanet:3319	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:11795	THPO	Orphanet:3319	Congenital amegakaryocytic thrombocytopenia	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	29191945[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15617	2021-09-14
GENCC_000110-HGNC_16513-Orphanet_90636-HP_0000007-GENCC_100009	HGNC:16513	TMC1	MONDO:0019588	hearing loss, autosomal recessive	Orphanet:90636	Orphanet:90636	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:16513	TMC1	Orphanet:90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301607[PMID]_24148127[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15626	2021-09-14
GENCC_000110-HGNC_30800-Orphanet_90636-HP_0000007-GENCC_100009	HGNC:30800	TMIE	MONDO:0019588	hearing loss, autosomal recessive	Orphanet:90636	Orphanet:90636	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:30800	TMIE	Orphanet:90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301607[PMID]_24148127[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15630	2021-09-14
GENCC_000110-HGNC_11877-Orphanet_90636-HP_0000007-GENCC_100009	HGNC:11877	TMPRSS3	MONDO:0019588	hearing loss, autosomal recessive	Orphanet:90636	Orphanet:90636	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:11877	TMPRSS3	Orphanet:90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301607[PMID]_24148127[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15631	2021-09-14
GENCC_000110-HGNC_11908-Orphanet_1782-HP_0000007-GENCC_100009	HGNC:11908	TNFRSF11A	MONDO:0009138	dysosteosclerosis	Orphanet:1782	Orphanet:1782	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:11908	TNFRSF11A	Orphanet:1782	Dysosteosclerosis	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	29568001[PMID]_31163101[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15633	2021-09-14
GENCC_000110-HGNC_11950-Orphanet_1147-HP_0000006-GENCC_100009	HGNC:11950	TNNT3	MONDO:0011128	Sheldon-hall syndrome	Orphanet:1147	Orphanet:1147	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:11950	TNNT3	Orphanet:1147	Sheldon-Hall syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	23401156[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15641	2021-09-14
GENCC_000110-HGNC_15979-Orphanet_1896-HP_0000006-GENCC_100009	HGNC:15979	TP63	MONDO:0010004	EEC syndrome	Orphanet:1896	Orphanet:1896	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:15979	TP63	Orphanet:1896	EEC syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	21959367[PMID]_24734328[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15645	2021-09-14
GENCC_000110-HGNC_12011-Orphanet_1147-HP_0000006-GENCC_100009	HGNC:12011	TPM2	MONDO:0011128	Sheldon-hall syndrome	Orphanet:1147	Orphanet:1147	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:12011	TPM2	Orphanet:1147	Sheldon-Hall syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	23401156[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15648	2021-09-14
GENCC_000110-HGNC_12011-Orphanet_2020-HP_0000006-GENCC_100009	HGNC:12011	TPM2	MONDO:0009711	congenital fiber-type disproportion myopathy	Orphanet:2020	Orphanet:2020	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:12011	TPM2	Orphanet:2020	Congenital fiber-type disproportion myopathy	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	22832343[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15648	2021-09-14
GENCC_000110-HGNC_12015-Orphanet_95716-HP_0000007-GENCC_100009	HGNC:12015	TPO	MONDO:0010132	familial thyroid dyshormonogenesis	Orphanet:95716	Orphanet:95716	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:12015	TPO	Orphanet:95716	Familial thyroid dyshormonogenesis	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20537182[PMID]_21543982[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15651	2021-09-14
GENCC_000110-HGNC_17761-Orphanet_2770-HP_0000007-GENCC_100009	HGNC:17761	TREM2	MONDO:0009092	polycystic lipomembranous osteodysplasia with sclerosing leukoencephaly	Orphanet:2770	Orphanet:2770	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:17761	TREM2	Orphanet:2770	Nasu-Hakola disease	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301376[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15655	2021-09-14
GENCC_000110-HGNC_25481-Orphanet_254864-HP_0001427-GENCC_100009	HGNC:25481	TRMU	MONDO:0010780	mitochondrial myopathy with reversible cytochrome C oxidase deficiency	Orphanet:254864	Orphanet:254864	GENCC:100009	Supportive	HP:0001427	Mitochondrial	GENCC:000110	Orphanet	HGNC:25481	TRMU	Orphanet:254864	Mitochondrial myopathy with reversible cytochrome C oxidase deficiency	HP:0001427	Mitochondrial Inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	21931168[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15664	2021-09-14
GENCC_000110-HGNC_20087-Orphanet_791-HP_0000006-GENCC_100009	HGNC:20087	TTC8	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:20087	TTC8	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15671	2021-09-14
GENCC_000110-HGNC_12423-Orphanet_791-HP_0000006-GENCC_100009	HGNC:12423	TULP1	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:12423	TULP1	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15675	2021-09-14
GENCC_000110-HGNC_12597-Orphanet_90636-HP_0000007-GENCC_100009	HGNC:12597	USH1C	MONDO:0019588	hearing loss, autosomal recessive	Orphanet:90636	Orphanet:90636	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:12597	USH1C	Orphanet:90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301607[PMID]_24148127[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15700	2021-09-14
GENCC_000110-HGNC_12597-Orphanet_231169-HP_0000007-GENCC_100009	HGNC:12597	USH1C	MONDO:0010168	Usher syndrome type 1	Orphanet:231169	Orphanet:231169	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:12597	USH1C	Orphanet:231169	Usher syndrome type 1	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301442[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15700	2021-09-14
GENCC_000110-HGNC_16356-Orphanet_231169-HP_0000007-GENCC_100009	HGNC:16356	USH1G	MONDO:0010168	Usher syndrome type 1	Orphanet:231169	Orphanet:231169	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:16356	USH1G	Orphanet:231169	Usher syndrome type 1	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301442[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15701	2021-09-14
GENCC_000110-HGNC_12601-Orphanet_791-HP_0000006-GENCC_100009	HGNC:12601	USH2A	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:12601	USH2A	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15702	2021-09-14
GENCC_000110-HGNC_12877-Orphanet_740-HP_0000006-GENCC_100009	HGNC:12877	ZMPSTE24	MONDO:0008310	Hutchinson-Gilford progeria syndrome	Orphanet:740	Orphanet:740	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:12877	ZMPSTE24	Orphanet:740	Hutchinson-Gilford progeria syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	16671095[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15747	2021-09-14
GENCC_000110-HGNC_12605-Orphanet_791-HP_0000006-GENCC_100009	HGNC:12605	CLRN1	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:12605	CLRN1	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15755	2021-09-14
GENCC_000110-HGNC_2148-Orphanet_791-HP_0000006-GENCC_100009	HGNC:2148	CNGA1	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2148	CNGA1	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15757	2021-09-14
GENCC_000110-HGNC_2187-Orphanet_90636-HP_0000007-GENCC_100009	HGNC:2187	COL11A2	MONDO:0019588	hearing loss, autosomal recessive	Orphanet:90636	Orphanet:90636	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:2187	COL11A2	Orphanet:90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301607[PMID]_24148127[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15764	2021-09-14
GENCC_000110-HGNC_2197-Orphanet_287-HP_0000006-GENCC_100009	HGNC:2197	COL1A1	MONDO:0007522	Ehlers-Danlos syndrome, classic type	Orphanet:287	Orphanet:287	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2197	COL1A1	Orphanet:287	Classical Ehlers-Danlos syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	10739762[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15767	2021-09-14
GENCC_000110-HGNC_2198-Orphanet_1899-HP_0000006-GENCC_100009	HGNC:2198	COL1A2	MONDO:0007525	Ehlers-Danlos syndrome, arthrochalasis type	Orphanet:1899	Orphanet:1899	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2198	COL1A2	Orphanet:1899	Arthrochalasia Ehlers-Danlos syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	9295084[PMID]_8071956[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15768	2021-09-14
GENCC_000110-HGNC_2198-Orphanet_216796-HP_0000006-GENCC_100009	HGNC:2198	COL1A2	MONDO:0008146	osteogenesis imperfecta type 1	Orphanet:216796	Orphanet:216796	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2198	COL1A2	Orphanet:216796	Osteogenesis imperfecta type 1	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	21438135[PMID]_20301472[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15768	2021-09-14
GENCC_000110-HGNC_2200-Orphanet_93316-HP_0000006-GENCC_100009	HGNC:2200	COL2A1	MONDO:0008478	spondylometaphyseal dysplasia, Schmidt type	Orphanet:93316	Orphanet:93316	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2200	COL2A1	Orphanet:93316	Spondylometaphyseal dysplasia, Schmidt type	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	23653587[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15769	2021-09-14
GENCC_000110-HGNC_2206-Orphanet_88918-HP_0000006-GENCC_100009	HGNC:2206	COL4A4	MONDO:0007086	autosomal dominant Alport syndrome	Orphanet:88918	Orphanet:88918	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2206	COL4A4	Orphanet:88918	Autosomal dominant Alport syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	9269635[PMID]_20301386[PMID]_15086897[PMID]_11572889[PMID]_19129241[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15773	2021-09-14
GENCC_000110-HGNC_2210-Orphanet_287-HP_0000006-GENCC_100009	HGNC:2210	COL5A2	MONDO:0007522	Ehlers-Danlos syndrome, classic type	Orphanet:287	Orphanet:287	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2210	COL5A2	Orphanet:287	Classical Ehlers-Danlos syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	15580559[PMID]_22696272[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15777	2021-09-14
GENCC_000110-HGNC_2260-Orphanet_254905-HP_0000007-GENCC_100009	HGNC:2260	COX10	MONDO:0009068	cytochrome-c oxidase deficiency disease	Orphanet:254905	Orphanet:254905	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:2260	COX10	Orphanet:254905	Isolated cytochrome C oxidase deficiency	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	10767350[PMID]_12928484[PMID]_15455402[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15789	2021-09-14
GENCC_000110-HGNC_2343-Orphanet_791-HP_0000006-GENCC_100009	HGNC:2343	CRB1	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2343	CRB1	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15798	2021-09-14
GENCC_000110-HGNC_2383-Orphanet_791-HP_0000006-GENCC_100009	HGNC:2383	CRX	MONDO:0019200	retinitis pigmentosa	Orphanet:791	Orphanet:791	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2383	CRX	Orphanet:791	Retinitis pigmentosa	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301590[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15803	2021-09-14
GENCC_000110-HGNC_2398-Orphanet_98984-HP_0000006-GENCC_100009	HGNC:2398	CRYBB2	MONDO:0011430	pulverulent cataract	Orphanet:98984	Orphanet:98984	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2398	CRYBB2	Orphanet:98984	Pulverulent cataract	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	10634616[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15808	2021-09-14
GENCC_000110-HGNC_2411-Orphanet_98984-HP_0000006-GENCC_100009	HGNC:2411	CRYGD	MONDO:0011430	pulverulent cataract	Orphanet:98984	Orphanet:98984	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2411	CRYGD	Orphanet:98984	Pulverulent cataract	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	21866214[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15811	2021-09-14
GENCC_000110-HGNC_2436-Orphanet_264675-HP_0000007-GENCC_100009	HGNC:2436	CSF2RB	MONDO:0012580	hereditary pulmonary alveolar proteinosis	Orphanet:264675	Orphanet:264675	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:2436	CSF2RB	Orphanet:264675	Hereditary pulmonary alveolar proteinosis	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	21075760[PMID]_21205713[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15812	2021-09-14
GENCC_000110-HGNC_2597-Orphanet_708-HP_0000006-GENCC_100009	HGNC:2597	CYP1B1	MONDO:0011414	Peters anomaly	Orphanet:708	Orphanet:708	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2597	CYP1B1	Orphanet:708	Peters anomaly	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	11403040[PMID]_15621878[PMID]_16735991[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15838	2021-09-14
GENCC_000110-HGNC_20580-Orphanet_289157-HP_0000007-GENCC_100009	HGNC:20580	CYP2R1	MONDO:0009924	vitamin D-dependent rickets, type 1	Orphanet:289157	Orphanet:289157	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:20580	CYP2R1	Orphanet:289157	Hypocalcemic vitamin D-dependent rickets	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	NULL	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15842	2021-09-14
GENCC_000110-HGNC_2865-Orphanet_242-HP_0000006-GENCC_100009	HGNC:2865	DHH	MONDO:0010765	46,XY complete gonadal dysgenesis	Orphanet:242	Orphanet:242	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:2865	DHH	Orphanet:242	46,XY complete gonadal dysgenesis	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	20301714[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15863	2021-09-14
GENCC_000110-HGNC_26594-Orphanet_994-HP_0000007-GENCC_100009	HGNC:26594	DOK7	MONDO:0100101	fetal akinesia deformation sequence 1	Orphanet:994	Orphanet:994	GENCC:100009	Supportive	HP:0000007	Autosomal recessive	GENCC:000110	Orphanet	HGNC:26594	DOK7	Orphanet:994	Fetal akinesia deformation sequence	HP:0000007	Autosomal recessive inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	19261599[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15884	2021-09-14
GENCC_000110-HGNC_3052-Orphanet_293165-HP_0000006-GENCC_100009	HGNC:3052	DSP	MONDO:0011882	skin fragility-woolly hair-palmoplantar keratoderma syndrome	Orphanet:293165	Orphanet:293165	GENCC:100009	Supportive	HP:0000006	Autosomal dominant	GENCC:000110	Orphanet	HGNC:3052	DSP	Orphanet:293165	Skin fragility-woolly hair-palmoplantar keratoderma syndrome	HP:0000006	Autosomal dominant inheritance	GENCC:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00	-	-	11841538[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15895	2021-09-14
